protein_id	label	y	cluster	genome_family	host_domain	host_layer	length	split	lofo
MZ089794_1	decoy	0	MZ089794_1				606	val	train
PV036423_8	decoy	0	PV036423_8				647	test	train
PV876984.1_3	decoy	0	PV876984.1_3				487	test	train
PX104379_113	decoy	0	PX104379_113				159	train	train
NC_041977_34	decoy	0	NC_041977_34				159	train	train
NC_135190_111	decoy	0	NC_135190_111				65	test	train
NC_002484_21	decoy	0	NC_002484_21				164	test	train
MZ322004_3	decoy	0	MZ322004_3				73	train	train
NC_048855_23	decoy	0	NC_048855_23				163	val	train
OK310502_157	decoy	0	OK310502_157				93	test	train
OK499997_174	decoy	0	OK499997_174				139	train	train
KX349302_106	decoy	0	KX349302_106				110	train	train
PQ582223_49	decoy	0	PQ582223_49				150	test	train
MT515752_126	decoy	0	MT515752_126				104	val	train
PP582187_51	decoy	0	PP582187_51				147	train	train
NC_070960_131	decoy	0	NC_070960_131				173	val	train
PP511690_7	decoy	0	PP511690_7				110	train	train
MW460245_7	decoy	0	MW460245_7				317	test	train
PP197244_22	decoy	0	PP197244_22				578	val	train
PV261924_239	decoy	0	PV261924_239				53	train	train
NC_041917_362	decoy	0	NC_041917_362				79	val	train
MN445183_109	decoy	0	MN445183_109				212	test	train
MH791411_25	decoy	0	MH791411_25				95	train	train
PP418986_130	decoy	0	PP418986_130				194	val	train
NC_041896_90	decoy	0	NC_041896_90				242	train	train
MT074142_218	decoy	0	MT074142_218				77	test	train
OM728303_97	decoy	0	OM728303_97				488	test	train
OQ355702_47	decoy	0	OQ355702_47				321	test	train
NC_004348_10	decoy	0	NC_004348_10				92	train	train
NC_101653_12	decoy	0	NC_101653_12				689	test	train
NC_028945_337	decoy	0	NC_028945_337				158	train	train
PP511490_4	decoy	0	PP511490_4				99	train	train
NC_111368_25	decoy	0	NC_111368_25				49	train	train
OM421595_128	decoy	0	OM421595_128				140	train	train
OK254198_276	decoy	0	OK254198_276				359	train	train
OZ196285_156	decoy	0	OZ196285_156				192	test	train
NC_022096_184	decoy	0	NC_022096_184				266	test	train
MK719750_142	decoy	0	MK719750_142				184	train	train
OR352959_7	decoy	0	OR352959_7				200	train	train
MN270259_92	decoy	0	MN270259_92				410	test	train
KJ019163_95	decoy	0	KJ019163_95				535	train	train
CP115603_8	decoy	0	CP115603_8				1278	train	train
MW202426_42	decoy	0	MW202426_42				213	test	train
LR796661_14	decoy	0	LR796661_14				76	val	train
PX670417_5	decoy	0	PX670417_5				78	val	train
NC_071047_39	decoy	0	NC_071047_39				229	val	train
OR521081_45	decoy	0	OR521081_45				312	test	train
PP892525_92	decoy	0	PP892525_92				118	train	train
NC_100331_103	decoy	0	NC_100331_103				625	train	train
PP001500_95	decoy	0	PP001500_95				82	val	train
PP212876_22	decoy	0	PP212876_22				112	test	train
NC_105100_15	decoy	0	NC_105100_15				106	val	train
MT710307_93	decoy	0	MT710307_93				159	train	train
MK448703_19	decoy	0	MK448703_19				60	train	train
PQ358086_24	decoy	0	PQ358086_24				384	train	train
PP565371_99	decoy	0	PP565371_99				87	test	train
OR896837_116	decoy	0	OR896837_116				439	train	train
PQ471515_2	decoy	0	PQ471515_2				64	train	train
MT446392_144	decoy	0	MT446392_144				100	test	train
OP869853_18	decoy	0	OP869853_18				767	train	train
MK448998_7	decoy	0	MK448998_7				104	train	train
NC_031943_9	decoy	0	NC_031943_9				158	train	train
MH697575_44	decoy	0	MH697575_44				164	val	train
MW202748_33	decoy	0	MW202748_33				133	test	train
MT446416_522	decoy	0	MT446416_522				199	train	train
OP953026_15	decoy	0	OP953026_15				185	train	train
KR824843_42	decoy	0	KR824843_42				249	test	train
NC_006936_1	decoy	0	NC_006936_1				52	test	train
NC_103213_41	decoy	0	NC_103213_41				143	train	train
OP745480_42	decoy	0	OP745480_42				81	train	train
KX349324_66	decoy	0	KX349324_66				66	train	train
PV329802_41	decoy	0	PV329802_41				145	train	train
MW478290_21	decoy	0	MW478290_21				43	train	train
NC_028749_155	decoy	0	NC_028749_155				77	train	train
PQ868952_54	decoy	0	PQ868952_54				180	train	train
OW991345_38	decoy	0	OW991345_38				146	train	train
NC_042077_13	decoy	0	NC_042077_13				81	test	train
PV366777_42	decoy	0	PV366777_42				105	train	train
MH669014_15	decoy	0	MH669014_15				1164	val	train
NC_049900_47	decoy	0	NC_049900_47				86	train	train
PQ184793_27	decoy	0	PQ184793_27				831	train	train
LR745206_32	decoy	0	LR745206_32				141	val	train
MN183281_5	decoy	0	MN183281_5				397	val	train
OM634661_107	decoy	0	OM634661_107				601	train	train
MW712718_27	decoy	0	MW712718_27				377	train	train
PV916286_63	decoy	0	PV916286_63				31	train	train
MW560978_43	decoy	0	MW560978_43				223	val	train
MH616963_81	decoy	0	MH616963_81				81	val	train
KU682439_8	decoy	0	KU682439_8				173	test	train
NC_003315_1	decoy	0	NC_003315_1				338	test	train
MG945550_3	decoy	0	MG945550_3				159	train	train
OQ709224_71	decoy	0	OQ709224_71				112	train	train
PX418925.1_366	decoy	0	PX418925.1_366				294	val	train
OQ847583_63	decoy	0	OQ847583_63				268	val	train
MK496786_1	decoy	0	MK496786_1				583	val	train
PQ362661_42	decoy	0	PQ362661_42				42	test	train
PV891806_1	decoy	0	PV891806_1				89	train	train
NC_015159_30	decoy	0	NC_015159_30				94	train	train
PV067694_19	decoy	0	PV067694_19				363	train	train
PQ133608_33	decoy	0	PQ133608_33				151	test	train
MH319754_85	decoy	0	MH319754_85				72	val	train
PQ114740_39	decoy	0	PQ114740_39				146	val	train
OQ790161_219	decoy	0	OQ790161_219				171	val	train
KR296694_70	decoy	0	KR296694_70				305	val	train
OP628076_175	decoy	0	OP628076_175				90	val	train
NC_014661_181	decoy	0	NC_014661_181				75	train	train
OY978798_22	decoy	0	OY978798_22				508	val	train
NC_073022_70	decoy	0	NC_073022_70				191	test	train
NC_054393_17	decoy	0	NC_054393_17				146	test	train
NC_062735_67	decoy	0	NC_062735_67				70	val	train
MH494197_115	decoy	0	MH494197_115				44	val	train
PV806358_10	decoy	0	PV806358_10				124	test	train
MG592594_55	decoy	0	MG592594_55				249	val	train
MZ574432_276	decoy	0	MZ574432_276				349	val	train
PV876956.1_79	decoy	0	PV876956.1_79				118	train	train
NC_022054_23	decoy	0	NC_022054_23				773	test	train
MF919495_125	decoy	0	MF919495_125				983	train	train
NC_041881_167	decoy	0	NC_041881_167				150	train	train
OP756059_110	decoy	0	OP756059_110				260	train	train
PQ241077_55	decoy	0	PQ241077_55				93	val	train
PP839371_7	decoy	0	PP839371_7				365	train	train
OP296941_206	decoy	0	OP296941_206				165	train	train
MK524504_102	decoy	0	MK524504_102				313	val	train
MW349129_30	decoy	0	MW349129_30				210	train	train
NC_049856_122	decoy	0	NC_049856_122				126	val	train
OP985600_12	decoy	0	OP985600_12				114	val	train
NC_020863_11	decoy	0	NC_020863_11				886	train	train
KF547926_16	decoy	0	KF547926_16				216	train	train
PV036436_39	decoy	0	PV036436_39				153	train	train
OR204652_37	decoy	0	OR204652_37				65	train	train
OR820950_36	decoy	0	OR820950_36				219	train	train
LR756511_428	decoy	0	LR756511_428				234	val	train
ON453899_82	decoy	0	ON453899_82				464	val	train
NC_047900_94	decoy	0	NC_047900_94				59	val	train
PV854180_21	decoy	0	PV854180_21				709	val	train
LC788708_76	decoy	0	LC788708_76				150	train	train
NC_048191_62	decoy	0	NC_048191_62				126	test	train
NC_054912_206	decoy	0	NC_054912_206				153	train	train
MH536814_221	decoy	0	MH536814_221				86	val	train
NC_001396_4	decoy	0	NC_001396_4				222	train	train
MG945238_4	decoy	0	MG945238_4				160	test	train
KX160208_34	decoy	0	KX160208_34				141	train	train
PP179329_11	decoy	0	PP179329_11				168	val	train
PP395634_24	decoy	0	PP395634_24				389	test	train
MN703408_20	decoy	0	MN703408_20				119	train	train
ON456355_20	decoy	0	ON456355_20				167	train	train
PQ002170_217	decoy	0	PQ002170_217				209	train	train
OP620778_318	decoy	0	OP620778_318				155	train	train
OR354836_112	decoy	0	OR354836_112				114	test	train
PX571967_82	decoy	0	PX571967_82				298	train	train
PX985685.1_47	decoy	0	PX985685.1_47				177	train	train
PV126534_463	decoy	0	PV126534_463				74	train	train
OZ346232_35	decoy	0	OZ346232_35				73	train	train
PV915867.1_14	decoy	0	PV915867.1_14				317	train	train
PQ571161_15	decoy	0	PQ571161_15				385	val	train
NC_021563_28	decoy	0	NC_021563_28				194	val	train
OM982647_93	decoy	0	OM982647_93				132	val	train
CP062426_12	decoy	0	CP062426_12				1556	train	train
PX668377.1_163	decoy	0	PX668377.1_163				554	train	train
ON968454_28	decoy	0	ON968454_28				75	val	train
OX241498_5	decoy	0	OX241498_5				128	test	train
PQ114748_24	decoy	0	PQ114748_24				173	train	train
OL770309_134	decoy	0	OL770309_134				311	test	train
PZ005745.1_248	decoy	0	PZ005745.1_248				92	train	train
NC_027622_1	decoy	0	NC_027622_1				104	train	train
NC_054921_113	decoy	0	NC_054921_113				313	train	train
OR496884_189	decoy	0	OR496884_189				489	val	train
MK359361_221	decoy	0	MK359361_221				595	val	train
OZ035728_259	decoy	0	OZ035728_259				162	train	train
PV806175_14	decoy	0	PV806175_14				137	test	train
NC_048029_12	decoy	0	NC_048029_12				49	train	train
MK359352_50	decoy	0	MK359352_50				148	train	train
OR548257_8	decoy	0	OR548257_8				187	val	train
OQ790161_213	decoy	0	OQ790161_213				317	test	train
PP552876_29	decoy	0	PP552876_29				122	train	train
LC778249_143	decoy	0	LC778249_143				64	train	train
OQ411014_466	decoy	0	OQ411014_466				108	train	train
NC_071041_259	decoy	0	NC_071041_259				131	test	train
PQ844485_47	decoy	0	PQ844485_47				234	train	train
NC_017974_78	decoy	0	NC_017974_78				694	train	train
MK496752_5	decoy	0	MK496752_5				82	test	train
NC_025429_206	decoy	0	NC_025429_206				111	val	train
NC_024391_24	decoy	0	NC_024391_24				81	test	train
OR352957_24	decoy	0	OR352957_24				167	val	train
OZ196288_31	decoy	0	OZ196288_31				83	train	train
OZ196578_32	decoy	0	OZ196578_32				125	train	train
NC_015585_26	decoy	0	NC_015585_26				96	test	train
PQ723753_46	decoy	0	PQ723753_46				232	train	train
MK809530_43	decoy	0	MK809530_43				137	train	train
PV340852_214	decoy	0	PV340852_214				1198	train	train
PP978897_4	decoy	0	PP978897_4				357	train	train
OP079919_207	decoy	0	OP079919_207				485	test	train
OL964744_9	decoy	0	OL964744_9				140	val	train
PQ066597_96	decoy	0	PQ066597_96				148	train	train
OK272470_219	decoy	0	OK272470_219				73	train	train
PV864764_40	decoy	0	PV864764_40				228	train	train
ON528745_267	decoy	0	ON528745_267				59	train	train
PV067733_15	decoy	0	PV067733_15				267	train	train
MK494120_46	decoy	0	MK494120_46				105	train	train
PX963128.1_154	decoy	0	PX963128.1_154				481	val	train
PX097699_43	decoy	0	PX097699_43				861	test	train
NC_062756_43	decoy	0	NC_062756_43				59	val	train
NC_031242_90	decoy	0	NC_031242_90				391	train	train
OR599645_11	decoy	0	OR599645_11				71	train	train
ON857943_45	decoy	0	ON857943_45				62	train	train
OR594179_47	decoy	0	OR594179_47				94	train	train
MZ334498_97	decoy	0	MZ334498_97				223	train	train
MW712724_50	decoy	0	MW712724_50				192	val	train
PQ589834_139	decoy	0	PQ589834_139				113	test	train
MW176033_1	decoy	0	MW176033_1				74	train	train
PP003922_1	decoy	0	PP003922_1				458	val	train
LC768485_4	decoy	0	LC768485_4				182	train	train
PP357935_13	decoy	0	PP357935_13				828	train	train
OZ038336_88	decoy	0	OZ038336_88				220	train	train
OQ560327_149	decoy	0	OQ560327_149				265	train	train
OX241442_228	decoy	0	OX241442_228				90	train	train
NC_054393_65	decoy	0	NC_054393_65				129	test	train
PQ474292_177	decoy	0	PQ474292_177				276	train	train
OZ195729_103	decoy	0	OZ195729_103				138	test	train
PP925846_74	decoy	0	PP925846_74				52	test	train
NC_073030_69	decoy	0	NC_073030_69				202	test	train
NC_079181_3	decoy	0	NC_079181_3				66	val	train
NC_006557_36	decoy	0	NC_006557_36				315	train	train
PQ184821_145	decoy	0	PQ184821_145				70	val	train
MN813675_8	decoy	0	MN813675_8				116	train	train
PX313720_46	decoy	0	PX313720_46				194	train	train
OZ035808_71	decoy	0	OZ035808_71				373	train	train
PX907368.1_44	decoy	0	PX907368.1_44				117	test	train
PV808484_90	decoy	0	PV808484_90				89	test	train
NC_055710_52	decoy	0	NC_055710_52				64	train	train
NC_005294_69	decoy	0	NC_005294_69				93	train	train
MN153503_118	decoy	0	MN153503_118				96	train	train
NC_049340_125	decoy	0	NC_049340_125				130	train	train
PV535314_112	decoy	0	PV535314_112				94	train	train
NC_025424_49	decoy	0	NC_025424_49				80	train	train
NC_031022_54	decoy	0	NC_031022_54				67	test	train
NC_005355_26	decoy	0	NC_005355_26				127	val	train
CP019719_27	decoy	0	CP019719_27				153	train	train
PV261948_135	decoy	0	PV261948_135				508	val	train
MG945551_1	decoy	0	MG945551_1				393	val	train
MK373778_78	decoy	0	MK373778_78				106	train	train
MW273924_22	decoy	0	MW273924_22				37	val	train
PX425757.1_78	decoy	0	PX425757.1_78				66	test	train
NC_019407_10	decoy	0	NC_019407_10				140	train	train
PP438418_78	decoy	0	PP438418_78				163	train	train
MZ334518_59	decoy	0	MZ334518_59				421	val	train
LC667450_25	decoy	0	LC667450_25				58	val	train
PQ850629_3	decoy	0	PQ850629_3				475	train	train
NC_019925_1	decoy	0	NC_019925_1				919	val	train
KR093630_26	decoy	0	KR093630_26				150	test	train
MT446419_73	decoy	0	MT446419_73				350	train	train
OQ363659_217	decoy	0	OQ363659_217				138	train	train
ON212265_85	decoy	0	ON212265_85				333	train	train
MN586029_129	decoy	0	MN586029_129				801	test	train
OP596614_69	decoy	0	OP596614_69				188	train	train
KT895374_154	decoy	0	KT895374_154				395	train	train
ON287373_51	decoy	0	ON287373_51				122	train	train
PP444687_35	decoy	0	PP444687_35				173	val	train
PP341282_7	decoy	0	PP341282_7				103	train	train
PP337210_65	decoy	0	PP337210_65				49	val	train
PQ374180_1	decoy	0	PQ374180_1				764	train	train
MK305892_13	decoy	0	MK305892_13				98	test	train
OM728301_237	decoy	0	OM728301_237				66	train	train
MN270261_22	decoy	0	MN270261_22				459	test	train
MN399336_73	decoy	0	MN399336_73				84	val	train
MK878896_30	decoy	0	MK878896_30				464	train	train
NC_023587_118	decoy	0	NC_023587_118				158	test	train
MG592606_56	decoy	0	MG592606_56				50	test	train
MT657341_130	decoy	0	MT657341_130				86	test	train
NC_030932_11	decoy	0	NC_030932_11				90	train	train
PX516251_18	decoy	0	PX516251_18				109	train	train
MK088078_48	decoy	0	MK088078_48				93	test	train
OR206057_57	decoy	0	OR206057_57				134	train	train
NC_041994_52	decoy	0	NC_041994_52				204	train	train
MW980072_27	decoy	0	MW980072_27				60	train	train
NC_031084_14	decoy	0	NC_031084_14				922	val	train
MN850579_229	decoy	0	MN850579_229				387	train	train
PP212876_87	decoy	0	PP212876_87				110	train	train
MK448950_48	decoy	0	MK448950_48				118	test	train
NC_015937_147	decoy	0	NC_015937_147				117	val	train
OP869850_8	decoy	0	OP869850_8				178	train	train
MZ089778_3	decoy	0	MZ089778_3				345	test	train
OQ870555_12	decoy	0	OQ870555_12				555	train	train
MK125140_69	decoy	0	MK125140_69				81	val	train
NC_048191_76	decoy	0	NC_048191_76				87	test	train
MZ456352_60	decoy	0	MZ456352_60				87	val	train
MZ501265_96	decoy	0	MZ501265_96				76	train	train
NC_054953_30	decoy	0	NC_054953_30				195	train	train
PQ464595_555	decoy	0	PQ464595_555				202	train	train
PQ898399_325	decoy	0	PQ898399_325				88	train	train
MG593800_37	decoy	0	MG593800_37				578	train	train
LC592711_116	decoy	0	LC592711_116				137	train	train
NC_005856_56	decoy	0	NC_005856_56				399	test	train
NC_023610_83	decoy	0	NC_023610_83				227	test	train
MH791404_218	decoy	0	MH791404_218				98	train	train
NC_071044_141	decoy	0	NC_071044_141				718	train	train
MT735629_84	decoy	0	MT735629_84				1378	test	train
OQ718158_569	decoy	0	OQ718158_569				112	test	train
OQ938574_9	decoy	0	OQ938574_9				345	train	train
PP934445_10	decoy	0	PP934445_10				70	test	train
OZ335627.1_97	decoy	0	OZ335627.1_97				91	val	train
NC_023602_59	decoy	0	NC_023602_59				223	train	train
NC_055737_178	decoy	0	NC_055737_178				189	test	train
NC_012223_43	decoy	0	NC_012223_43				260	train	train
MT375525_51	decoy	0	MT375525_51				159	train	train
NC_049398_28	decoy	0	NC_049398_28				103	train	train
PX753329.1_31	decoy	0	PX753329.1_31				116	train	train
PX313717_71	decoy	0	PX313717_71				306	train	train
MK448681_15	decoy	0	MK448681_15				56	train	train
NC_001884_111	decoy	0	NC_001884_111				209	train	train
MN813680_11	decoy	0	MN813680_11				303	val	train
MT872956_44	decoy	0	MT872956_44				77	train	train
MZ436628_48	decoy	0	MZ436628_48				100	train	train
PX446291_105	decoy	0	PX446291_105				79	train	train
NC_019452_122	decoy	0	NC_019452_122				136	train	train
KT309034_43	decoy	0	KT309034_43				64	val	train
MK496816_1	decoy	0	MK496816_1				554	train	train
OR584014_133	decoy	0	OR584014_133				53	train	train
ON042478_93	decoy	0	ON042478_93				108	test	train
OR455461_268	decoy	0	OR455461_268				153	train	train
NC_048143_52	decoy	0	NC_048143_52				93	train	train
OQ709411_37	decoy	0	OQ709411_37				243	train	train
OZ347391_259	decoy	0	OZ347391_259				100	train	train
PX630737.1_10	decoy	0	PX630737.1_10				109	train	train
ON529868_13	decoy	0	ON529868_13				130	train	train
LR535904_242	decoy	0	LR535904_242				552	test	train
OZ335332_78	decoy	0	OZ335332_78				325	train	train
MK448237_76	decoy	0	MK448237_76				1023	val	train
OQ938587_29	decoy	0	OQ938587_29				343	train	train
LR756504_56	decoy	0	LR756504_56				58	train	train
NC_055875_41	decoy	0	NC_055875_41				55	train	train
PP740684_11	decoy	0	PP740684_11				141	test	train
PQ561417_25	decoy	0	PQ561417_25				177	val	train
NC_024121_132	decoy	0	NC_024121_132				86	train	train
NC_022989_2	decoy	0	NC_022989_2				122	train	train
AP019418_310	decoy	0	AP019418_310				126	train	train
PV037644_59	decoy	0	PV037644_59				127	train	train
MK448714_51	decoy	0	MK448714_51				181	test	train
MH015255_185	decoy	0	MH015255_185				143	val	train
NC_048117_35	decoy	0	NC_048117_35				47	train	train
OR699185_32	decoy	0	OR699185_32				678	val	train
OP764599_14	decoy	0	OP764599_14				587	train	train
PV357744_231	decoy	0	PV357744_231				62	val	train
MK359353_182	decoy	0	MK359353_182				239	train	train
OR515479_183	decoy	0	OR515479_183				649	val	train
MW879344_515	decoy	0	MW879344_515				61	train	train
NC_047955_18	decoy	0	NC_047955_18				120	train	train
NC_079141_51	decoy	0	NC_079141_51				672	train	train
PV654397_412	decoy	0	PV654397_412				160	train	train
OL961820_138	decoy	0	OL961820_138				48	train	train
NC_022771_22	decoy	0	NC_022771_22				149	train	train
MH636380_85	decoy	0	MH636380_85				109	val	train
PQ314491_57	decoy	0	PQ314491_57				332	train	train
NC_019509_40	decoy	0	NC_019509_40				162	train	train
MF959998_58	decoy	0	MF959998_58				90	test	train
MH341451_59	decoy	0	MH341451_59				161	train	train
PQ184795_27	decoy	0	PQ184795_27				78	val	train
PQ184823_21	decoy	0	PQ184823_21				320	train	train
OR842557_74	decoy	0	OR842557_74				100	train	train
PP400783_156	decoy	0	PP400783_156				165	test	train
MW749007_66	decoy	0	MW749007_66				61	train	train
KX961632_286	decoy	0	KX961632_286				80	val	train
MN939408_12	decoy	0	MN939408_12				86	train	train
OX241555_3	decoy	0	OX241555_3				221	train	train
OR844766_190	decoy	0	OR844766_190				40	val	train
ON470617_21	decoy	0	ON470617_21				971	test	train
PV593634_71	decoy	0	PV593634_71				249	train	train
OX335403_206	decoy	0	OX335403_206				733	val	train
MK359337_70	decoy	0	MK359337_70				1114	train	train
NC_070888_221	decoy	0	NC_070888_221				200	train	train
OQ504983_145	decoy	0	OQ504983_145				833	val	train
OR532876_37	decoy	0	OR532876_37				153	train	train
OR475291_23	decoy	0	OR475291_23				397	test	train
MN106245_206	decoy	0	MN106245_206				352	train	train
KX822733_120	decoy	0	KX822733_120				472	train	train
OR915848_47	decoy	0	OR915848_47				188	train	train
NC_042100_136	decoy	0	NC_042100_136				153	train	train
MT119766_66	decoy	0	MT119766_66				90	train	train
OP172840_2	decoy	0	OP172840_2				315	train	train
NC_003444_20	decoy	0	NC_003444_20				353	test	train
KX452700_46	decoy	0	KX452700_46				680	train	train
NC_042047_198	decoy	0	NC_042047_198				118	val	train
NC_026587_55	decoy	0	NC_026587_55				83	train	train
OR159649_45	decoy	0	OR159649_45				795	val	train
OR159650_56	decoy	0	OR159650_56				238	test	train
NC_071143_22	decoy	0	NC_071143_22				79	val	train
MN698247_33	decoy	0	MN698247_33				332	val	train
PP978886_34	decoy	0	PP978886_34				78	val	train
PP027964_43	decoy	0	PP027964_43				359	train	train
PX400593_92	decoy	0	PX400593_92				689	train	train
PP680570_128	decoy	0	PP680570_128				126	train	train
PP180002_83	decoy	0	PP180002_83				235	val	train
NC_048086_11	decoy	0	NC_048086_11				132	train	train
NC_020849_82	decoy	0	NC_020849_82				121	train	train
OP172790_5	decoy	0	OP172790_5				50	train	train
MZ936314_44	decoy	0	MZ936314_44				962	train	train
MH572522_2	decoy	0	MH572522_2				262	test	train
PQ066597_56	decoy	0	PQ066597_56				90	train	train
PP948675_2	decoy	0	PP948675_2				155	train	train
PQ493642_115	decoy	0	PQ493642_115				111	val	train
MT684602_12	decoy	0	MT684602_12				258	train	train
NC_070844_59	decoy	0	NC_070844_59				311	test	train
PP668090_10	decoy	0	PP668090_10				580	train	train
NC_026609_26	decoy	0	NC_026609_26				529	test	train
OQ817841_4	decoy	0	OQ817841_4				243	train	train
NC_111368_32	decoy	0	NC_111368_32				443	train	train
NC_047891_27	decoy	0	NC_047891_27				345	train	train
PP856017_135	decoy	0	PP856017_135				59	test	train
NC_031027_153	decoy	0	NC_031027_153				189	train	train
OP752703_195	decoy	0	OP752703_195				883	val	train
NC_054924_21	decoy	0	NC_054924_21				161	val	train
MT822286_7	decoy	0	MT822286_7				205	train	train
MK903282_21	decoy	0	MK903282_21				139	train	train
MK112538_28	decoy	0	MK112538_28				108	train	train
NC_048170_16	decoy	0	NC_048170_16				142	test	train
ON146294_30	decoy	0	ON146294_30				117	train	train
OZ196589_213	decoy	0	OZ196589_213				344	val	train
MZ634346_52	decoy	0	MZ634346_52				86	train	train
MZ417345_39	decoy	0	MZ417345_39				740	train	train
ON146449_12	decoy	0	ON146449_12				196	val	train
ON975036_107	decoy	0	ON975036_107				269	train	train
NC_019486_55	decoy	0	NC_019486_55				123	val	train
MT920315_138	decoy	0	MT920315_138				57	train	train
PV593634_108	decoy	0	PV593634_108				998	train	train
NC_071006_85	decoy	0	NC_071006_85				266	train	train
LT598654_231	decoy	0	LT598654_231				135	test	train
PP663283_17	decoy	0	PP663283_17				801	train	train
OR420735_31	decoy	0	OR420735_31				326	train	train
OQ817837_44	decoy	0	OQ817837_44				177	train	train
ON602767_7	decoy	0	ON602767_7				62	train	train
MZ388552_69	decoy	0	MZ388552_69				101	train	train
CP103976_74	decoy	0	CP103976_74				132	train	train
PX436236_151	decoy	0	PX436236_151				150	train	train
PQ493642_1	decoy	0	PQ493642_1				171	train	train
MK359320_51	decoy	0	MK359320_51				124	train	train
OK148441_177	decoy	0	OK148441_177				178	val	train
OP750331_33	decoy	0	OP750331_33				81	train	train
PV876963.1_188	decoy	0	PV876963.1_188				86	train	train
ON528733_49	decoy	0	ON528733_49				153	train	train
OR885926_38	decoy	0	OR885926_38				78	train	train
MK770119_83	decoy	0	MK770119_83				56	val	train
OP292654_367	decoy	0	OP292654_367				105	train	train
NC_028662_18	decoy	0	NC_028662_18				132	test	train
PZ091928.1_40	decoy	0	PZ091928.1_40				42	train	train
PV036425_48	decoy	0	PV036425_48				144	test	train
MN234236_38	decoy	0	MN234236_38				63	val	train
OP926971_14	decoy	0	OP926971_14				550	train	train
OP297178_35	decoy	0	OP297178_35				230	test	train
NC_054638_61	decoy	0	NC_054638_61				192	train	train
OP729297_288	decoy	0	OP729297_288				537	train	train
OQ291023_54	decoy	0	OQ291023_54				206	val	train
NC_041831_1	decoy	0	NC_041831_1				164	train	train
NC_047734_9	decoy	0	NC_047734_9				856	train	train
NC_019518_24	decoy	0	NC_019518_24				78	test	train
MH171095_47	decoy	0	MH171095_47				311	train	train
NC_031924_31	decoy	0	NC_031924_31				83	train	train
NC_070802_24	decoy	0	NC_070802_24				508	test	train
OQ623150_17	decoy	0	OQ623150_17				281	train	train
PP183292_43	decoy	0	PP183292_43				51	train	train
MZ570263_24	decoy	0	MZ570263_24				86	train	train
NC_042028_86	decoy	0	NC_042028_86				199	val	train
NC_049430_48	decoy	0	NC_049430_48				194	train	train
PV764938_201	decoy	0	PV764938_201				1013	test	train
MT813140_29	decoy	0	MT813140_29				792	train	train
MN204504_22	decoy	0	MN204504_22				391	train	train
PV454041_10	decoy	0	PV454041_10				81	test	train
MH688040_108	decoy	0	MH688040_108				176	train	train
MH598802_8	decoy	0	MH598802_8				41	test	train
OR769032_182	decoy	0	OR769032_182				98	train	train
PV663807_29	decoy	0	PV663807_29				210	train	train
PV941755.1_34	decoy	0	PV941755.1_34				105	val	train
PX866608.1_30	decoy	0	PX866608.1_30				194	train	train
PQ358086_19	decoy	0	PQ358086_19				105	val	train
MZ417331_51	decoy	0	MZ417331_51				110	train	train
PP738795_11	decoy	0	PP738795_11				452	test	train
MN882349_122	decoy	0	MN882349_122				66	val	train
NC_023688_42	decoy	0	NC_023688_42				57	train	train
PQ963940_7	decoy	0	PQ963940_7				163	val	train
KJ019096_179	decoy	0	KJ019096_179				405	test	train
NC_042056_253	decoy	0	NC_042056_253				58	val	train
PP920553_27	decoy	0	PP920553_27				174	train	train
OP329100_29	decoy	0	OP329100_29				53	val	train
PP582757_179	decoy	0	PP582757_179				288	train	train
NC_011216_7	decoy	0	NC_011216_7				75	train	train
KY981271_14	decoy	0	KY981271_14				277	val	train
PV296018_2	decoy	0	PV296018_2				158	test	train
ON506924_25	decoy	0	ON506924_25				162	test	train
NC_042092_17	decoy	0	NC_042092_17				62	test	train
LR756504_786	decoy	0	LR756504_786				44	train	train
JX042579_45	decoy	0	JX042579_45				78	train	train
PQ189388_12	decoy	0	PQ189388_12				74	train	train
NC_008584_134	decoy	0	NC_008584_134				190	train	train
MZ274310_23	decoy	0	MZ274310_23				85	val	train
MN091625_20	decoy	0	MN091625_20				313	val	train
OQ921725_27	decoy	0	OQ921725_27				443	train	train
OM971649_170	decoy	0	OM971649_170				77	test	train
ON210139_4	decoy	0	ON210139_4				186	val	train
PV593737_212	decoy	0	PV593737_212				83	train	train
NC_048794_142	decoy	0	NC_048794_142				205	train	train
NC_054902_252	decoy	0	NC_054902_252				606	train	train
NC_055872_30	decoy	0	NC_055872_30				241	val	train
OK570374_19	decoy	0	OK570374_19				79	val	train
NC_048181_27	decoy	0	NC_048181_27				757	val	train
NC_070951_256	decoy	0	NC_070951_256				222	val	train
PP179312_32	decoy	0	PP179312_32				347	train	train
PV446873_44	decoy	0	PV446873_44				895	train	train
PQ434692_79	decoy	0	PQ434692_79				640	train	train
KX853514_22	decoy	0	KX853514_22				150	train	train
OM868082_31	decoy	0	OM868082_31				61	train	train
PX884078.1_367	decoy	0	PX884078.1_367				108	val	train
MK448901_25	decoy	0	MK448901_25				44	test	train
NC_049805_59	decoy	0	NC_049805_59				98	val	train
KP340287_9	decoy	0	KP340287_9				145	train	train
PP496414_67	decoy	0	PP496414_67				75	val	train
MN850568_35	decoy	0	MN850568_35				298	test	train
ON602755_2	decoy	0	ON602755_2				60	test	train
MW514247_34	decoy	0	MW514247_34				79	val	train
NC_104263_16	decoy	0	NC_104263_16				491	val	train
