protein_id,category,host_raw,host_domain,genome_genus,genome_family,protein_length,best_evalue,n_pfam,n_cdd,n_superfamily,cazy_layer,tmhmm_predhel_approx,signal_peptide_approx,genome_completeness,genome_checkv_quality,fold_homolog,mean_plddt,n_pockets,substrate_inferred,novelty,transfer_value,total_score
MW021749_148,holin,Citrobacter,bacteria,Pseudotevenvirus,Straboviridae,215,4.00e-53,1,0,0,none,1,yes,92.02,High-quality,,,,膜成孔（内溶素协同，推断）,0.465,其他革兰阴性/细菌,0.7248
NC_029013_207,holin,Citrobacter,bacteria,Pseudotevenvirus,Straboviridae,215,4.00e-53,1,0,0,none,1,yes,92.11,High-quality,,,,膜成孔（内溶素协同，推断）,0.465,其他革兰阴性/细菌,0.7248
NC_007023_281,holin,Escherichia,bacteria,Pseudotevenvirus,Straboviridae,201,4.00e-53,1,0,0,none,1,yes,92.94,High-quality,,,,膜成孔（内溶素协同，推断）,0.465,其他革兰阴性/细菌,0.7248
NC_031057_265,holin,Citrobacter,bacteria,Pseudotevenvirus,Straboviridae,215,4.00e-53,1,0,0,none,1,yes,92.96,High-quality,,,,膜成孔（内溶素协同，推断）,0.465,其他革兰阴性/细菌,0.7248
NC_048186_21,lysin,Escherichia,bacteria,Taipeivirus,Ackermannviridae,265,9.90e-16,2,0,1,CBM(class);GH(class),0,no,95.74,High-quality,AF-A0A9E0VSY1-F1,96.1,15,肽聚糖（推断）,0.502,其他革兰阴性/细菌,0.7245
NC_028820_254,holin,Yersinia,bacteria,Tegunavirus,Straboviridae,108,7.70e-68,1,0,0,none,2,yes,88.43,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.461,其他革兰阴性/细菌,0.7241
PX694328.1_1,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,637,6.40e-181,,,,none,0,no,92.97,High-quality,AF-A0A1H7ARN7-F1,64.2,98,未知,0.418,CRKP/PA/AB 临床重点菌,0.724
PP358550_99,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,84.91,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
OZ346219_98,holin,Escherichia,bacteria,Unclassified,Unclassified,219,3.60e-54,1,0,0,none,2,yes,85.55,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
MZ504878_253,holin,Enterobacteria,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.73,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
NC_041936_253,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.02,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
PX104378_100,holin,Escherichia,bacteria,Unclassified,Unclassified,219,3.60e-54,1,0,0,none,2,yes,88.4,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
PP400778_21,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.17,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
OP114734_122,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.92,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
PQ351812_175,holin,Shigella,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
PQ306574_179,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,87.71,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.459,其他革兰阴性/细菌,0.7238
PZ013371.1_83,lysin,Achromobacter,bacteria,Unclassified,Unclassified,2049,4.20e-27,1,0,1,GH23,5,no,76.94,Medium-quality,,,,肽聚糖（推断）,0.581,其他革兰阴性/细菌,0.723
PP400781_4,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.26,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
OR525698_251,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.09,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
PP449093_79,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,87.87,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
MK962753_253,holin,Shigella,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,90.97,High-quality,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
NC_055757_143,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
NC_012740_255,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,86.99,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
MK327941_260,holin,Escherichia,bacteria,Krischvirus,Straboviridae,219,3.60e-54,1,0,0,none,2,yes,87.65,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.453,其他革兰阴性/细菌,0.7229
PX670406.1_20,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,93.95,High-quality,,,,荚膜多糖（推断）,0.63,CRKP/PA/AB 临床重点菌,0.7228
PP663284_1,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,94.01,High-quality,,,,荚膜多糖（推断）,0.63,CRKP/PA/AB 临床重点菌,0.7228
OL865411_42,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,846,1.00e-08,3,0,1,"PL(K1_lyase,family待dbCAN)",0,no,92.13,High-quality,,,,荚膜多糖（推断）,0.629,CRKP/PA/AB 临床重点菌,0.7227
OR532886_20,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,93.9,High-quality,,,,荚膜多糖（推断）,0.629,CRKP/PA/AB 临床重点菌,0.7227
OP114732_66,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,834,1.90e-175,,,,none,0,no,63.69,Medium-quality,AF-A0ABD7NLF8-F1,88.3,44,未知,0.167,CRKP/PA/AB 临床重点菌,0.7225
PQ821643_69,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.627,CRKP/PA/AB 临床重点菌,0.7224
OR532872_20,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,94.17,High-quality,,,,荚膜多糖（推断）,0.627,CRKP/PA/AB 临床重点菌,0.7224
PQ133004_36,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,92.56,High-quality,,,,荚膜多糖（推断）,0.627,CRKP/PA/AB 临床重点菌,0.7224
PX670367_4,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,1,"PL(K1_lyase,family待dbCAN)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.627,CRKP/PA/AB 临床重点菌,0.7224
OP785155_9,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,839,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,93.99,High-quality,,,,荚膜多糖（推断）,0.627,CRKP/PA/AB 临床重点菌,0.7224
OL744213_44,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,883,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,91.82,High-quality,,,,荚膜多糖（推断）,0.625,CRKP/PA/AB 临床重点菌,0.7221
OR532819_20,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,93.99,High-quality,,,,荚膜多糖（推断）,0.625,CRKP/PA/AB 临床重点菌,0.7221
PQ305823.1_43,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,93.92,High-quality,,,,荚膜多糖（推断）,0.625,CRKP/PA/AB 临床重点菌,0.7221
PX641096.1_80,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,1,"PL(K1_lyase,family待dbCAN)",0,no,94.05,High-quality,,,,荚膜多糖（推断）,0.625,CRKP/PA/AB 临床重点菌,0.7221
PP934445_41,depolymerase,Klebsiella,bacteria,Webervirus,Drexlerviridae,846,1.00e-08,3,0,1,"PL(K1_lyase,family待dbCAN)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.625,CRKP/PA/AB 临床重点菌,0.7221
MZ868725_45,depolymerase,Acinetobacter,bacteria,Friunavirus,Autoscriptoviridae,786,6.80e-33,,,,none,0,no,100.0,Complete,,,,未知,0.547,CRKP/PA/AB 临床重点菌,0.722
OR532853_20,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,846,1.00e-08,3,0,2,"PL(K1_lyase,family待dbCAN)",0,no,94.05,High-quality,,,,荚膜多糖（推断）,0.624,CRKP/PA/AB 临床重点菌,0.7219
NC_042047_205,lysin,Serratia,bacteria,Taipeivirus,Ackermannviridae,265,9.90e-16,2,0,1,CBM(class);GH(class),0,yes,93.64,High-quality,AF-A0A9E0VSY1-F1,96.1,15,肽聚糖（推断）,0.483,其他革兰阴性/细菌,0.7216
OR532828_29,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,834,1.90e-175,,,,none,0,no,63.68,Medium-quality,AF-A0ABD7NLF8-F1,88.3,44,未知,0.159,CRKP/PA/AB 临床重点菌,0.7213
OR532892_29,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,834,1.90e-175,,,,none,0,no,63.69,Medium-quality,AF-A0ABD7NLF8-F1,88.3,44,未知,0.158,CRKP/PA/AB 临床重点菌,0.7211
PP357453_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.04,CRKP/PA/AB 临床重点菌,0.721
PV853808_5,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.037,CRKP/PA/AB 临床重点菌,0.7206
MT813140_34,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,94.22,High-quality,,,,荚膜多糖（推断）,0.032,CRKP/PA/AB 临床重点菌,0.7198
MT920315_90,holin,Erwinia,bacteria,Roskildevirus,Straboviridae,220,1.00e-57,1,0,0,none,1,yes,94.22,High-quality,,,,膜成孔（内溶素协同，推断）,0.432,其他革兰阴性/细菌,0.7198
OR532858_45,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,92.9,High-quality,,,,荚膜多糖（推断）,0.031,CRKP/PA/AB 临床重点菌,0.7197
NC_047970_44,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.03,CRKP/PA/AB 临床重点菌,0.7195
OR532877_43,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,93.26,High-quality,,,,荚膜多糖（推断）,0.028,CRKP/PA/AB 临床重点菌,0.7192
MF327009_105,holin,Shigella,bacteria,Tequatrovirus,Straboviridae,177,5.00e-102,1,0,0,none,0,no,95.39,High-quality,,,,膜成孔（内溶素协同，推断）,0.428,其他革兰阴性/细菌,0.7192
OR532868_44,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,92.73,High-quality,,,,荚膜多糖（推断）,0.027,CRKP/PA/AB 临床重点菌,0.719
PP357477_27,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.026,CRKP/PA/AB 临床重点菌,0.7189
PQ359445_35,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,93.59,High-quality,,,,荚膜多糖（推断）,0.025,CRKP/PA/AB 临床重点菌,0.7188
HG994092_47,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,95.92,High-quality,,,,荚膜多糖（推断）,0.025,CRKP/PA/AB 临床重点菌,0.7188
PP978612_38,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.024,CRKP/PA/AB 临床重点菌,0.7186
PV173012_43,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.024,CRKP/PA/AB 临床重点菌,0.7186
PP848840_43,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,95.4,High-quality,,,,荚膜多糖（推断）,0.024,CRKP/PA/AB 临床重点菌,0.7186
OX335401_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.024,CRKP/PA/AB 临床重点菌,0.7186
MT966872_42,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.023,CRKP/PA/AB 临床重点菌,0.7185
OX335413_43,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.023,CRKP/PA/AB 临床重点菌,0.7185
OX335408_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.023,CRKP/PA/AB 临床重点菌,0.7185
OX335438_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.023,CRKP/PA/AB 临床重点菌,0.7185
PQ133603_40,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,94.57,High-quality,,,,荚膜多糖（推断）,0.023,CRKP/PA/AB 临床重点菌,0.7185
NC_047908_43,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.023,CRKP/PA/AB 临床重点菌,0.7185
PP848843_42,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,93.54,High-quality,,,,荚膜多糖（推断）,0.022,CRKP/PA/AB 临床重点菌,0.7183
OX335360_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.022,CRKP/PA/AB 临床重点菌,0.7183
OX335427_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.022,CRKP/PA/AB 临床重点菌,0.7183
OR426634_32,holin,Klebsiella,bacteria,Sugarlandvirus,Demerecviridae,221,2.00e-15,1,0,0,none,2,yes,87.63,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.7182
PQ569735_103,holin,Klebsiella,bacteria,Unclassified,Unclassified,221,2.00e-15,1,0,0,none,2,yes,85.26,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.7182
PP738788_40,holin,Klebsiella,bacteria,Unclassified,Unclassified,221,2.00e-15,1,0,0,none,2,yes,84.82,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.7182
PQ569712_104,holin,Klebsiella,bacteria,Unclassified,Unclassified,221,2.00e-15,1,0,0,none,2,yes,96.94,High-quality,,,,膜成孔（内溶素协同，推断）,0.568,CRKP/PA/AB 临床重点菌,0.7182
PX915675.1_44,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
PP848852_42,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,95.02,High-quality,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
PP454753_42,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
PP848839_42,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,94.15,High-quality,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
PP357456_16,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,93.42,High-quality,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
OX335426_44,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
OX335433_5,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
OR532880_40,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,722,1.60e-67,1,0,1,"CAZy(tailspike,class待定)",0,no,82.27,Medium-quality,,,,荚膜多糖（推断）,0.021,CRKP/PA/AB 临床重点菌,0.7181
PX670408.1_47,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,95.71,High-quality,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PP848853_40,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,93.93,High-quality,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PX974311.1_48,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,95.89,High-quality,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PP646059_44,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,94.66,High-quality,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PP848854_40,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,92.82,High-quality,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PP357459_7,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
MW042800_26,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PP848847_44,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,96.0,High-quality,,,,荚膜多糖（推断）,0.02,CRKP/PA/AB 临床重点菌,0.718
PP542034_40,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.019,CRKP/PA/AB 临床重点菌,0.7178
MW042807_19,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.019,CRKP/PA/AB 临床重点菌,0.7178
PP357474_40,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.019,CRKP/PA/AB 临床重点菌,0.7178
PV173014_6,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.019,CRKP/PA/AB 临床重点菌,0.7178
PX694424.1_44,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.019,CRKP/PA/AB 临床重点菌,0.7178
OR105945_42,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.019,CRKP/PA/AB 临床重点菌,0.7178
OP103919_38,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1019,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
PQ793761_39,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
OR287812_44,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
PQ434564_12,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,93.76,High-quality,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
PV854167_42,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,2,0,0,"CAZy(tailspike,class待定)",0,no,94.05,High-quality,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
PV854173_41,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,93.32,High-quality,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
OX335359_41,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
OR532907_40,depolymerase,Klebsiella,bacteria,Unclassified,Unclassified,722,1.60e-67,1,0,1,"CAZy(tailspike,class待定)",0,no,82.16,Medium-quality,,,,荚膜多糖（推断）,0.018,CRKP/PA/AB 临床重点菌,0.7177
ON287370_94,lysin,Serratia,bacteria,Petsuvirus,Chimalliviridae,2399,1.20e-24,1,0,1,GH18/19,1,no,87.63,Medium-quality,,,,肽聚糖（推断）,0.655,其他革兰阴性/细菌,0.7177
OP103918_2,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1019,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.017,CRKP/PA/AB 临床重点菌,0.7176
OX335394_44,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,2,0,1,"CAZy(tailspike,class待定)",0,no,100.0,Complete,,,,荚膜多糖（推断）,0.017,CRKP/PA/AB 临床重点菌,0.7176
ON880501_2,depolymerase,Klebsiella,bacteria,Przondovirus,Autotranscriptaviridae,1018,5.80e-181,3,0,1,"CAZy(tailspike,class待定)",0,no,94.11,High-quality,,,,荚膜多糖（推断）,0.017,CRKP/PA/AB 临床重点菌,0.7176
MZ571828_36,holin,Klebsiella,bacteria,Sugarlandvirus,Demerecviridae,221,2.00e-15,1,0,0,none,2,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.564,CRKP/PA/AB 临床重点菌,0.7176
PQ569733_103,holin,Klebsiella,bacteria,Unclassified,Unclassified,221,2.00e-15,1,0,0,none,2,yes,88.26,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.564,CRKP/PA/AB 临床重点菌,0.7176
PP355766_62,holin,Klebsiella,bacteria,Unclassified,Straboviridae,221,2.00e-15,1,0,0,none,2,yes,99.88,High-quality,,,,膜成孔（内溶素协同，推断）,0.564,CRKP/PA/AB 临床重点菌,0.7176
PP848850_107,holin,Klebsiella,bacteria,Unclassified,Unclassified,221,2.00e-15,1,0,0,none,2,yes,87.12,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.564,CRKP/PA/AB 临床重点菌,0.7176
ON637170_112,holin,Klebsiella,bacteria,Sugarlandvirus,Demerecviridae,221,2.00e-15,1,0,0,none,2,yes,87.97,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.564,CRKP/PA/AB 临床重点菌,0.7176
